path,value
ScienceKeywords[17].Topic,CRYOSPHERE
ScienceKeywords[17].Term,SEA ICE
ScienceKeywords[17].VariableLevel1,ICE ROUGHNESS
ScienceKeywords[18].Category,EARTH SCIENCE
ScienceKeywords[18].Topic,CRYOSPHERE
ScienceKeywords[18].Term,SEA ICE
ScienceKeywords[18].VariableLevel1,ICE TEMPERATURE
ScienceKeywords[19].Category,EARTH SCIENCE
ScienceKeywords[19].Topic,CRYOSPHERE
ScienceKeywords[19].Term,SEA ICE
ScienceKeywords[19].VariableLevel1,ICE TYPES
ScienceKeywords[20].Category,EARTH SCIENCE
ScienceKeywords[20].Topic,CRYOSPHERE
ScienceKeywords[20].Term,SEA ICE
ScienceKeywords[20].VariableLevel1,ICEBERGS
ScienceKeywords[21].Category,EARTH SCIENCE
ScienceKeywords[21].Topic,CRYOSPHERE
ScienceKeywords[21].Term,SEA ICE
ScienceKeywords[21].VariableLevel1,LEADS
ScienceKeywords[22].Category,EARTH SCIENCE
ScienceKeywords[22].Topic,CRYOSPHERE
ScienceKeywords[22].Term,SEA ICE
ScienceKeywords[22].VariableLevel1,PACK ICE
ScienceKeywords[23].Category,EARTH SCIENCE
ScienceKeywords[23].Topic,CRYOSPHERE
ScienceKeywords[23].Term,SEA ICE
ScienceKeywords[23].VariableLevel1,POLYNYAS
ScienceKeywords[24].Category,EARTH SCIENCE
ScienceKeywords[24].Topic,CRYOSPHERE
ScienceKeywords[24].Term,SEA ICE
ScienceKeywords[24].VariableLevel1,REFLECTANCE
ScienceKeywords[25].Category,EARTH SCIENCE
ScienceKeywords[25].Topic,CRYOSPHERE
ScienceKeywords[25].Term,SEA ICE
ScienceKeywords[25].VariableLevel1,SEA ICE MOTION
ScienceKeywords[26].Category,EARTH SCIENCE
ScienceKeywords[26].Topic,CRYOSPHERE
ScienceKeywords[26].Term,SNOW/ICE
ScienceKeywords[26].VariableLevel1,ICE EXTENT
ScienceKeywords[27].Category,EARTH SCIENCE
ScienceKeywords[27].Topic,CRYOSPHERE
ScienceKeywords[27].Term,SNOW/ICE
ScienceKeywords[27].VariableLevel1,ICE GROWTH/MELT
ScienceKeywords[28].Category,EARTH SCIENCE
ScienceKeywords[28].Topic,CRYOSPHERE
ScienceKeywords[28].Term,SNOW/ICE
ScienceKeywords[28].VariableLevel1,ICE MOTION
ScienceKeywords[29].Category,EARTH SCIENCE
ScienceKeywords[29].Topic,CRYOSPHERE
ScienceKeywords[29].Term,SNOW/ICE
ScienceKeywords[29].VariableLevel1,ICE VELOCITY
ScienceKeywords[30].Category,EARTH SCIENCE
ScienceKeywords[30].Topic,CRYOSPHERE
ScienceKeywords[30].Term,SNOW/ICE
ScienceKeywords[30].VariableLevel1,LAKE ICE
ScienceKeywords[31].Category,EARTH SCIENCE
ScienceKeywords[31].Topic,CRYOSPHERE
ScienceKeywords[31].Term,SNOW/ICE
ScienceKeywords[31].VariableLevel1,PERMAFROST
ScienceKeywords[32].Category,EARTH SCIENCE
ScienceKeywords[32].Topic,CRYOSPHERE
ScienceKeywords[32].Term,SNOW/ICE
ScienceKeywords[32].VariableLevel1,RIVER ICE
ScienceKeywords[33].Category,EARTH SCIENCE
ScienceKeywords[33].Topic,CRYOSPHERE
ScienceKeywords[33].Term,SNOW/ICE
ScienceKeywords[33].VariableLevel1,SNOW COVER
ScienceKeywords[34].Category,EARTH SCIENCE
ScienceKeywords[34].Topic,LAND SURFACE
ScienceKeywords[34].Term,EROSION/SEDIMENTATION
ScienceKeywords[34].VariableLevel1,LANDSLIDES
ScienceKeywords[35].Category,EARTH SCIENCE
ScienceKeywords[35].Topic,LAND SURFACE
ScienceKeywords[35].Term,GEOMORPHIC LANDFORMS/PROCESSES
ScienceKeywords[35].VariableLevel1,AEOLIAN LANDFORMS
ScienceKeywords[36].Category,EARTH SCIENCE
ScienceKeywords[36].Topic,LAND SURFACE
ScienceKeywords[36].Term,GEOMORPHIC LANDFORMS/PROCESSES
ScienceKeywords[36].VariableLevel1,COASTAL LANDFORMS
ScienceKeywords[37].Category,EARTH SCIENCE
ScienceKeywords[37].Topic,LAND SURFACE
ScienceKeywords[37].Term,GEOMORPHIC LANDFORMS/PROCESSES
ScienceKeywords[37].VariableLevel1,FLUVIAL LANDFORMS
ScienceKeywords[38].Category,EARTH SCIENCE
ScienceKeywords[38].Topic,LAND SURFACE
ScienceKeywords[38].Term,GEOMORPHIC LANDFORMS/PROCESSES
ScienceKeywords[38].VariableLevel1,GLACIAL LANDFORMS
ScienceKeywords[39].Category,EARTH SCIENCE
ScienceKeywords[39].Topic,LAND SURFACE
ScienceKeywords[39].Term,GEOMORPHIC LANDFORMS/PROCESSES
ScienceKeywords[39].VariableLevel1,KARST LANDFORMS
ScienceKeywords[40].Category,EARTH SCIENCE
ScienceKeywords[40].Topic,LAND SURFACE
ScienceKeywords[40].Term,GEOMORPHIC LANDFORMS/PROCESSES
ScienceKeywords[40].VariableLevel1,TECTONIC LANDFORMS
ScienceKeywords[41].Category,EARTH SCIENCE
ScienceKeywords[41].Topic,LAND SURFACE
ScienceKeywords[41].Term,LAND USE/LAND COVER
ScienceKeywords[41].VariableLevel1,LAND USE/LAND COVER CLASSIFICATION
ScienceKeywords[42].Category,EARTH SCIENCE
ScienceKeywords[42].Topic,LAND SURFACE
ScienceKeywords[42].Term,LANDSCAPE
ScienceKeywords[42].VariableLevel1,LANDSCAPE ECOLOGY
ScienceKeywords[43].Category,EARTH SCIENCE
ScienceKeywords[43].Topic,LAND SURFACE
ScienceKeywords[43].Term,LANDSCAPE
ScienceKeywords[43].VariableLevel1,LANDSCAPE ECOLOGY
ScienceKeywords[44].Category,EARTH SCIENCE
ScienceKeywords[44].Topic,LAND SURFACE
ScienceKeywords[44].Term,LANDSCAPE
ScienceKeywords[44].VariableLevel1,LANDSCAPE PATTERNS
ScienceKeywords[45].Category,EARTH SCIENCE
ScienceKeywords[45].Topic,LAND SURFACE
